HCP_ID,STATE,HCP_SPECIALTY,HCP_AGE,HCP_GENDER,STATE_NAME
1,TX,PHYSICAL THERAPY,,U-Unknown,Texas
2,IN,PHYSICIAN ASSISTANT,,U-Unknown,Indiana
3,CA,EMERGENCY MEDICINE,,U-Unknown,California
4,TX,NURSE PRACTITIONER,,U-Unknown,Texas
5,WA,EMERGENCY MEDICINE,,U-Unknown,Washington
6,OH,NURSE PRACTITIONER,,U-Unknown,Ohio
7,MS,NURSE PRACTITIONER,,U-Unknown,Mississippi
8,CA,FAMILY MEDICINE,,U-Unknown,California
9,SC,PHYSICIAN ASSISTANT,,U-Unknown,South Carolina
10,NJ,NURSE PRACTITIONER,,U-Unknown,New Jersey
11,TX,NURSE PRACTITIONER,,U-Unknown,Texas
12,TX,NURSE PRACTITIONER,,U-Unknown,Texas
13,TN,NURSE PRACTITIONER,,U-Unknown,Tennessee
14,MO,NURSE PRACTITIONER,,U-Unknown,Missouri
15,PA,NURSE PRACTITIONER,,U-Unknown,Pennsylvania
16,TN,NURSE PRACTITIONER,,U-Unknown,Tennessee
17,AK,CASE MANAGER / CARE COORDINATOR,,U-Unknown,Alaska
18,TX,PHYSICIAN ASSISTANT,,U-Unknown,Texas
19,TX,NURSE PRACTITIONER,,U-Unknown,Texas
20,FL,NURSE PRACTITIONER,,U-Unknown,Florida
21,FL,PHYSICAL THERAPY,,U-Unknown,Florida
22,TX,PHYSICIAN ASSISTANT,,U-Unknown,Texas
23,CA,NURSE PRACTITIONER,,U-Unknown,California
24,CA,NURSE PRACTITIONER,,U-Unknown,California
25,MA,PHYSICIAN ASSISTANT,,U-Unknown,Massachusetts
26,FL,NURSE PRACTITIONER,,U-Unknown,Florida
27,WA,NURSE PRACTITIONER,,U-Unknown,Washington
28,GA,NURSE PRACTITIONER,,U-Unknown,Georgia
29,MD,PHYSICIAN ASSISTANT,,U-Unknown,Maryland
30,KY,PHYSICIAN ASSISTANT,,U-Unknown,Kentucky
31,AZ,PHYSICIAN ASSISTANT,,U-Unknown,Arizona
32,NY,PHYSICAL THERAPY,,U-Unknown,New York
33,CO,PHYSICIAN ASSISTANT,,U-Unknown,Colorado
34,NV,EMERGENCY MEDICINE,,U-Unknown,Nevada
35,WA,NURSE PRACTITIONER,,U-Unknown,Washington
36,VA,NURSE PRACTITIONER,,U-Unknown,Virginia
37,FL,PHYSICIAN ASSISTANT,,U-Unknown,Florida
38,WA,NURSE PRACTITIONER,,U-Unknown,Washington
39,NJ,CHIROPRACTIC,,U-Unknown,New Jersey
40,MD,CERTIFIED NURSE ANESTHETIST,,U-Unknown,Maryland
41,MT,PHYSICIAN ASSISTANT,,U-Unknown,Montana
42,TX,PHYSICAL THERAPY,,U-Unknown,Texas
43,HI,PHYSICIAN ASSISTANT,,U-Unknown,Hawaii
44,MD,PHYSICIAN ASSISTANT,,U-Unknown,Maryland
45,NC,PHYSICIAN ASSISTANT,,U-Unknown,North Carolina
46,PA,PHYSICAL THERAPY,,U-Unknown,Pennsylvania
47,NY,NURSE PRACTITIONER,,U-Unknown,New York
48,CO,PHYSICIAN ASSISTANT,,U-Unknown,Colorado
49,IL,OCCUPATIONAL THERAPY,,U-Unknown,Illinois
50,TX,PHYSICIAN ASSISTANT,,U-Unknown,Texas
51,OH,PSYCHOLOGY,,U-Unknown,Ohio
52,NJ,PHYSICIAN ASSISTANT,,U-Unknown,New Jersey
53,SC,NURSE PRACTITIONER,,U-Unknown,South Carolina
54,TX,PHYSICIAN ASSISTANT,,U-Unknown,Texas
55,AL,NURSE PRACTITIONER,,U-Unknown,Alabama
56,PA,PHYSICIAN ASSISTANT,,U-Unknown,Pennsylvania
57,HI,PHYSICIAN ASSISTANT,,U-Unknown,Hawaii
58,FL,NURSE PRACTITIONER,,U-Unknown,Florida
59,MI,PHYSICIAN ASSISTANT,,U-Unknown,Michigan
60,NJ,PHYSICIAN ASSISTANT,,U-Unknown,New Jersey
61,LA,PHYSICIAN ASSISTANT,,U-Unknown,Louisiana
62,CT,PHYSICIAN ASSISTANT,,U-Unknown,Connecticut
63,CA,DENTIST,,U-Unknown,California
64,FL,NURSE PRACTITIONER,,U-Unknown,Florida
65,TX,FAMILY MEDICINE,,U-Unknown,Texas
66,NE,NURSE PRACTITIONER,,U-Unknown,Nebraska
67,CO,PHYSICAL THERAPY,,U-Unknown,Colorado
68,MI,FAMILY MEDICINE,,U-Unknown,Michigan
69,WA,PHYSICIAN ASSISTANT,,U-Unknown,Washington
70,MI,PHYSICIAN ASSISTANT,,U-Unknown,Michigan
71,CO,NURSE PRACTITIONER,,U-Unknown,Colorado
72,IL,CLINICAL SOCIAL WORKER,,U-Unknown,Illinois
73,IL,BEHAVIORAL HEALTH & SOCIAL SERVICES,,U-Unknown,Illinois
74,FL,PHYSICAL THERAPY,,U-Unknown,Florida
75,GA,PHYSICAL THERAPY,,U-Unknown,Georgia
76,DE,NURSE PRACTITIONER,,U-Unknown,Delaware
77,IN,PHYSICIAN ASSISTANT,,U-Unknown,Indiana
78,MA,PHYSICIAN ASSISTANT,,U-Unknown,Massachusetts
79,GA,NURSE PRACTITIONER,,U-Unknown,Georgia
80,MD,"STUDENT, HEALTH CARE",,U-Unknown,Maryland
81,TX,NURSE PRACTITIONER,,U-Unknown,Texas
82,AK,BEHAVIORAL HEALTH & SOCIAL SERVICES,,U-Unknown,Alaska
83,LA,NURSE PRACTITIONER,,U-Unknown,Louisiana
84,MA,INTERNAL MEDICINE,,U-Unknown,Massachusetts
85,AR,NURSE PRACTITIONER,,U-Unknown,Arkansas
86,CT,NURSE PRACTITIONER,,U-Unknown,Connecticut
87,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
88,TX,NURSE PRACTITIONER,,U-Unknown,Texas
89,TN,NURSE PRACTITIONER,,U-Unknown,Tennessee
90,AZ,NURSE PRACTITIONER,,U-Unknown,Arizona
91,TX,OCCUPATIONAL THERAPY,,U-Unknown,Texas
92,IN,NURSE PRACTITIONER,,U-Unknown,Indiana
93,GA,NURSE PRACTITIONER,,U-Unknown,Georgia
94,FL,PHYSICIAN ASSISTANT,,U-Unknown,Florida
95,TN,NURSE PRACTITIONER,,U-Unknown,Tennessee
96,MI,PHYSICIAN ASSISTANT,,U-Unknown,Michigan
97,TN,PHYSICIAN ASSISTANT,,U-Unknown,Tennessee
98,TN,NURSE PRACTITIONER,,U-Unknown,Tennessee
99,MD,NURSE PRACTITIONER,,U-Unknown,Maryland
100,KY,NURSE PRACTITIONER,,U-Unknown,Kentucky
101,IN,NURSE PRACTITIONER,,U-Unknown,Indiana
102,WA,PHYSICIAN ASSISTANT,,U-Unknown,Washington
103,GA,NURSE PRACTITIONER,,U-Unknown,Georgia
104,CA,NURSE PRACTITIONER,,U-Unknown,California
105,IN,PHYSICAL THERAPY,,U-Unknown,Indiana
106,TN,PHYSICIAN ASSISTANT,,U-Unknown,Tennessee
107,OR,PHYSICIAN ASSISTANT,,U-Unknown,Oregon
108,NE,PHYSICIAN ASSISTANT,,U-Unknown,Nebraska
109,FL,PHYSICIAN ASSISTANT,,U-Unknown,Florida
110,OH,NURSE PRACTITIONER,,U-Unknown,Ohio
111,CA,NURSE PRACTITIONER,,U-Unknown,California
112,NC,NURSE PRACTITIONER,,U-Unknown,North Carolina
113,OH,PHYSICIAN ASSISTANT,,U-Unknown,Ohio
114,MT,PHYSICIAN ASSISTANT,,U-Unknown,Montana
115,OH,NURSE PRACTITIONER,,U-Unknown,Ohio
116,NY,INTERNAL MEDICINE,,U-Unknown,New York
117,MI,PHYSICIAN ASSISTANT,,U-Unknown,Michigan
118,SC,NURSE PRACTITIONER,,U-Unknown,South Carolina
119,CT,PHYSICIAN ASSISTANT,,U-Unknown,Connecticut
120,TX,NURSE PRACTITIONER,,U-Unknown,Texas
121,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
122,MD,PHYSICIAN ASSISTANT,,U-Unknown,Maryland
123,OR,NURSE PRACTITIONER,,U-Unknown,Oregon
124,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
125,MD,NURSE PRACTITIONER,,U-Unknown,Maryland
126,TX,PHYSICAL THERAPY,,U-Unknown,Texas
127,LA,NURSE PRACTITIONER,,U-Unknown,Louisiana
128,TN,PHYSICIAN ASSISTANT,,U-Unknown,Tennessee
129,MS,NURSE PRACTITIONER,,U-Unknown,Mississippi
130,OH,NURSE PRACTITIONER,,U-Unknown,Ohio
131,CA,NURSE PRACTITIONER,,U-Unknown,California
132,MO,PHYSICIAN ASSISTANT,,U-Unknown,Missouri
133,OH,INTERVENTIONAL CARDIOLOGY,,U-Unknown,Ohio
134,TX,NURSE PRACTITIONER,,U-Unknown,Texas
135,WA,NURSE PRACTITIONER,,U-Unknown,Washington
136,OR,PHYSICIAN ASSISTANT,,U-Unknown,Oregon
137,TN,NURSE PRACTITIONER,,U-Unknown,Tennessee
138,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
139,NY,PHYSICAL THERAPY,,U-Unknown,New York
140,AZ,BEHAVIORAL HEALTH & SOCIAL SERVICES,,U-Unknown,Arizona
141,MS,NURSE PRACTITIONER,,U-Unknown,Mississippi
142,TX,NURSE PRACTITIONER,,U-Unknown,Texas
143,NE,NURSE PRACTITIONER,,U-Unknown,Nebraska
144,OK,PHYSICIAN ASSISTANT,,U-Unknown,Oklahoma
145,TN,PHYSICIAN ASSISTANT,,U-Unknown,Tennessee
146,AZ,NURSE PRACTITIONER,,U-Unknown,Arizona
147,WA,NURSE PRACTITIONER,,U-Unknown,Washington
148,MS,NURSE PRACTITIONER,,U-Unknown,Mississippi
149,FL,NURSE PRACTITIONER,,U-Unknown,Florida
150,AL,NURSE PRACTITIONER,,U-Unknown,Alabama
151,LA,PHYSICIAN ASSISTANT,,U-Unknown,Louisiana
152,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
153,IL,NURSE PRACTITIONER,,U-Unknown,Illinois
154,PR,GENERAL PRACTICE,,U-Unknown,Puerto Rico
155,MN,PHYSICIAN ASSISTANT,,U-Unknown,Minnesota
156,MA,NURSE PRACTITIONER,,U-Unknown,Massachusetts
157,NC,PHYSICIAN ASSISTANT,,U-Unknown,North Carolina
158,OK,PHYSICIAN ASSISTANT,,U-Unknown,Oklahoma
159,NY,PHYSICIAN ASSISTANT,,U-Unknown,New York
160,CA,NURSE PRACTITIONER,,U-Unknown,California
161,CA,PHYSICAL THERAPY,,U-Unknown,California
162,IN,PHYSICIAN ASSISTANT,,U-Unknown,Indiana
163,GA,PHYSICAL THERAPY,,U-Unknown,Georgia
164,LA,PHYSICIAN ASSISTANT,,U-Unknown,Louisiana
165,WA,NURSE PRACTITIONER,,U-Unknown,Washington
166,PA,PHYSICIAN ASSISTANT,,U-Unknown,Pennsylvania
167,MI,CERTIFIED NURSE ANESTHETIST,,U-Unknown,Michigan
168,NH,NURSE PRACTITIONER,,U-Unknown,New Hampshire
169,AZ,NURSE PRACTITIONER,,U-Unknown,Arizona
170,LA,NURSE PRACTITIONER,,U-Unknown,Louisiana
171,CA,REGISTERED DIETICIAN,,U-Unknown,California
172,IA,NURSE PRACTITIONER,,U-Unknown,Iowa
173,MI,INTERNAL MEDICINE,,U-Unknown,Michigan
174,NH,PHYSICIAN ASSISTANT,,U-Unknown,New Hampshire
175,OK,NURSE PRACTITIONER,,U-Unknown,Oklahoma
176,CA,NURSE PRACTITIONER,,U-Unknown,California
177,AR,NURSE PRACTITIONER,,U-Unknown,Arkansas
178,TN,PHYSICIAN ASSISTANT,,U-Unknown,Tennessee
179,MS,NURSE PRACTITIONER,,U-Unknown,Mississippi
180,TX,NURSE PRACTITIONER,,U-Unknown,Texas
181,SD,PHYSICAL THERAPY,,U-Unknown,South Dakota
182,CA,OPTOMETRIST,,U-Unknown,California
183,VA,EMERGENCY MEDICINE,,U-Unknown,Virginia
184,CO,NURSE PRACTITIONER,,U-Unknown,Colorado
185,OH,OPTOMETRIST,,U-Unknown,Ohio
186,NC,PHYSICIAN ASSISTANT,,U-Unknown,North Carolina
187,MO,PHYSICAL THERAPY,,U-Unknown,Missouri
188,CO,PHYSICAL THERAPY,,U-Unknown,Colorado
189,WI,PHYSICIAN ASSISTANT,,U-Unknown,Wisconsin
190,MO,PHYSICIAN ASSISTANT,,U-Unknown,Missouri
191,CA,PHYSICIAN ASSISTANT,,U-Unknown,California
192,UT,PHYSICIAN ASSISTANT,,U-Unknown,Utah
193,AR,NURSE PRACTITIONER,,U-Unknown,Arkansas
194,AZ,NURSE PRACTITIONER,,U-Unknown,Arizona
195,IN,PHYSICAL THERAPY,,U-Unknown,Indiana
196,IN,NURSE PRACTITIONER,,U-Unknown,Indiana
197,MI,DIAGNOSTIC RADIOLOGY,,U-Unknown,Michigan
198,AZ,OPTOMETRIST,,U-Unknown,Arizona
199,NJ,PHYSICIAN ASSISTANT,,U-Unknown,New Jersey
200,FL,PHYSICIAN ASSISTANT,,U-Unknown,Florida
201,OH,PHYSICIAN ASSISTANT,,U-Unknown,Ohio
202,IL,PHYSICIAN ASSISTANT,,U-Unknown,Illinois
203,MA,PHYSICIAN ASSISTANT,,U-Unknown,Massachusetts
204,MA,NEUROLOGY,,U-Unknown,Massachusetts
205,MI,MOLECULAR GENETIC PATHOLOGY (PATHOLOGY),,U-Unknown,Michigan
206,FL,PHYSICIAN ASSISTANT,,U-Unknown,Florida
